title,price,price_numeric,beds,baths,area,area_sqft,price_per_sqft,property_type,featured,photo_count,description,description_length,city,scraped_date,url
New 3 Marla House Demand 50 lack Electricity Water 20 Feet Strteet Registery Intiqal,PKR 48 Lakh,4800000,2,2,3 Marla,675.0,7111,House,False,19,"PKR48 LakhThanda Pani, Islamabad223 MarlaAdded: 22 hours agoSMSCall",67,Houses_Islamabad,2026-07-29,https://www.zameen.com/Property/islamabad_thanda_pani_new_3_marla_house_demand_50_lack_electricity_water_20_feet_strteet_registery_intiqal-54369976-8538-1.html
House For Sale In Chatha Bakhtawar,PKR 1.95 Crore,19500000,6,5,3 Marla,675.0,28888,House,False,9,"PKR1.95 CroreChatha Bakhtawar, Islamabad653 MarlaAdded: 6 days ago(Updated: 2 days ago)SMSCall",94,Houses_Islamabad,2026-07-29,https://www.zameen.com/Property/islamabad_chatha_bakhtawar_house_for_sale_in_chatha_bakhtawar-54495363-3153-1.html
"3 MARLA HOUSE FOR SALE IN GHOURI TOWN PHASE 4-A, ISLAMABAD",PKR 75 Lakh,7500000,5,4,3 Marla,675.0,11111,House,False,20,"PKR75 LakhGhauri Town Phase 4A, Ghauri Town543 MarlaAdded: 5 days ago(Updated: 21 hours ago)SMSCall",99,Houses_Islamabad,2026-07-29,https://www.zameen.com/Property/ghauri_town_ghauri_town_phase_4a_3_marla_house_for_sale_in_ghouri_town_phase_4-a_islamabad-54472878-14956-1.html
3 Marla Brand New House For Sale In Jhangi Syedan,PKR 62 Lakh,6200000,,,3 Marla,675.0,9185,House,False,8,"PKR62 LakhJhangi Syedan, Islamabad3 MarlaAdded: 1 week ago(Updated: 2 days ago)SMSCall",86,Houses_Islamabad,2026-07-29,https://www.zameen.com/Property/islamabad_jhangi_syedan_3_marla_brand_new_house_for_sale_in_jhangi_syedan-54501750-8851-1.html
Corner House For Sale,PKR 1.9 Crore,19000000,5,4,3 Marla,675.0,28148,House,False,9,"PKR1.9 CroreSoan Garden, Islamabad543 MarlaAdded: 3 weeks ago(Updated: 3 days ago)SMSCall",89,Houses_Islamabad,2026-07-29,https://www.zameen.com/Property/islamabad_soan_garden_corner_house_for_sale-52271434-338-1.html
Renovated House For Sale,PKR 3.4 Crore,34000000,4,3,3 Marla,675.0,50370,House,False,10,"PKR3.4 CroreG-10/4, G-10433 MarlaAdded: 3 weeks ago(Updated: 1 week ago)SMSCallEmail",84,Houses_Islamabad,2026-07-29,https://www.zameen.com/Property/g_10_g-10_4_renovated_house_for_sale-54099474-3327-1.html
"3 Marla Double Storey House for Sale Taramri, Islamabad",PKR 95 Lakh,9500000,4,4,3 Marla,675.0,14074,House,False,8,"PKR95 LakhTaramrri, Islamabad443 MarlaAdded: 1 day ago(Updated: 1 day ago)SMSCall",81,Houses_Islamabad,2026-07-29,https://www.zameen.com/Property/islamabad_taramrri_3_marla_double_storey_house_for_sale_taramri_islamabad-54532724-3500-1.html
3 Marla House Available For Sale In Bani Gala Sanjhalian,PKR 60 Lakh,6000000,2,2,3 Marla,675.0,8888,House,False,11,"PKR60 LakhBani Gala, Islamabad223 MarlaAdded: 2 days agoSMSCallEmail",68,Houses_Islamabad,2026-07-29,https://www.zameen.com/Property/islamabad_bani_gala_3_marla_house_available_for_sale_in_bani_gala_sanjhalian-54060693-340-1.html
Beautiful New House,PKR 1.15 Crore,11500000,3,3,3 Marla,675.0,17037,House,False,50,"PKR1.15 CroreGhauri Town Phase 4A, Ghauri Town333 MarlaAdded: 2 days ago(Updated: 2 days ago)SMSCallEmail",105,Houses_Islamabad,2026-07-29,https://www.zameen.com/Property/ghauri_town_ghauri_town_phase_4a_beautiful_new_house-54528480-14956-1.html
3 Marla Singal Storey New House For Sale In Bilal Town Khana Pull Rawal Hospital Islalmabad,PKR 95 Lakh,9500000,3,3,3 Marla,675.0,14074,House,False,14,"PKR95 LakhBilal Town, Lehtrar Road333 MarlaAdded: 4 days ago(Updated: 4 hours ago)SMSCall",89,Houses_Islamabad,2026-07-29,https://www.zameen.com/Property/lehtrar_road_bilal_town_3_marla_singal_storey_new_house_for_sale_in_bilal_town_khana_pull_rawal_hospital_islalmabad-54521518-13227-1.html
