title,price,price_numeric,beds,baths,area,area_sqft,price_per_sqft,property_type,featured,photo_count,description,description_length,city,listing_mode,scraped_date,url
Furnished House For Rent,PKR 20 Lakh,2000000,10,6,1.5 Kanal,6750.0,296,House,True,17,super hot17Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,90,Houses_Rent_Islamabad,for_rent,2026-07-26,https://www.zameen.com/Property/islamabad_f-7_furnished_house_for_rent-54415211-165-4.html
Fully Furnished House For Rent,PKR 18 Lakh,1800000,10,6,1.2 Kanal,5400.0,333,House,True,25,super hot25Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,90,Houses_Rent_Islamabad,for_rent,2026-07-26,https://www.zameen.com/Property/islamabad_f-6_fully_furnished_house_for_rent-54439410-164-4.html
fully furnished 14 beds 15 washrooms House For Rent,PKR 18 Lakh,1800000,18,18,2 Kanal,9000.0,200,House,True,8,super hot8Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,89,Houses_Rent_Islamabad,for_rent,2026-07-26,https://www.zameen.com/Property/islamabad_f-7_fully_furnished_14_beds_15_washrooms_house_for_rent-54368529-165-4.html
"10 Marla Luxury Double Unit House For Rent CDA Sector D-12/1, Islamabad",PKR 3.15 Lakh,315000,5,6,10 Marla,2250.0,140,House,True,12,super hot12Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,90,Houses_Rent_Islamabad,for_rent,2026-07-26,https://www.zameen.com/Property/d_12_d-12_1_10_marla_luxury_double_unit_house_for_rent_cda_sector_d-12_1_islamabad-54462721-3154-4.html
14 Marla Full House For Rent,PKR 2.75 Lakh,275000,9,6,14 Marla,3150.0,87,House,True,9,super hot9Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,89,Houses_Rent_Islamabad,for_rent,2026-07-26,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_-_sector_c_14_marla_full_house_for_rent-53711907-3198-4.html
Brand New House For Rent In F-8 On Prime Location,PKR 25 Lakh,2500000,7,,2 Kanal,9000.0,277,House,True,39,super hot39Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,90,Houses_Rent_Islamabad,for_rent,2026-07-26,https://www.zameen.com/Property/islamabad_f-8_brand_new_house_for_rent_in_f-8_on_prime_location-54365661-166-4.html
2 Kanal Brand New House For Rent In F-6 On Prime Location,PKR 25 Lakh,2500000,7,,2 Kanal,9000.0,277,House,True,29,super hot29Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,90,Houses_Rent_Islamabad,for_rent,2026-07-26,https://www.zameen.com/Property/islamabad_f-6_2_kanal_brand_new_house_for_rent_in_f-6_on_prime_location-54304864-164-4.html
10 Marla Brand New Double Storey House Available For Rent,PKR 1.3 Lakh,130000,4,6,10 Marla,2250.0,57,House,True,24,super hot24Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,90,Houses_Rent_Islamabad,for_rent,2026-07-26,https://www.zameen.com/Property/islamabad_bani_gala_10_marla_brand_new_double_storey_house_available_for_rent-54219686-340-4.html
1 Kanal 6 Bed Brand New House For Rent 3 Said Loan Dha Phase 2 Islamabad,PKR 3.75 Lakh,375000,3,6,1 Kanal,4500.0,83,House,True,41,super hot411Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,91,Houses_Rent_Islamabad,for_rent,2026-07-26,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_6_bed_brand_new_house_for_rent_3_said_loan_dha_phase_2_islamabad-54327948-339-4.html
Beautiful Luxurious Fully Furnished 10 Marla Full House For Rent In D-12/4 Islamabad,PKR 4.5 Lakh,450000,5,6,10 Marla,2250.0,200,House,True,12,super hot12Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,90,Houses_Rent_Islamabad,for_rent,2026-07-26,https://www.zameen.com/Property/d_12_d-12_4_beautiful_luxurious_fully_furnished_10_marla_full_house_for_rent_in_d-12_4_islamabad-54442043-3157-4.html
4.44 Marla Luxury Single-Unit House For Rent,PKR 1.7 Lakh,170000,3,4,4 Marla,900.0,188,House,True,22,hot22Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,84,Houses_Rent_Islamabad,for_rent,2026-07-26,https://www.zameen.com/Property/islamabad_d-12_4_44_marla_luxury_single-unit_house_for_rent-54482384-160-4.html
BEAUTIFULL HOUSE FOR RENT,PKR 1.4 Lakh,140000,3,4,4 Marla,900.0,155,House,True,12,hot12Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,84,Houses_Rent_Islamabad,for_rent,2026-07-26,https://www.zameen.com/Property/islamabad_d-12_beautifull_house_for_rent-54294646-160-4.html
I-8 Near kachnar Park Neat and Clean Full House Available For Rent,PKR 3.5 Lakh,350000,6,6,14.2 Marla,3195.0,109,House,False,17,hot17Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,84,Houses_Rent_Islamabad,for_rent,2026-07-26,https://www.zameen.com/Property/i_8_i-8_3_i-8_near_kachnar_park_neat_and_clean_full_house_available_for_rent-54522148-3443-4.html
1 Kanal Brand New Designer Luxury House For Rent In DHA Phase 2,PKR 3.2 Lakh,320000,6,6,1 Kanal,4500.0,71,House,False,29,hot29Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,84,Houses_Rent_Islamabad,for_rent,2026-07-26,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_brand_new_designer_luxury_house_for_rent_in_dha_phase_2-53151993-339-4.html
E11 House Available For Rent For Comershal And Family Use,PKR 3 Lakh,300000,6,6,13.6 Marla,3060.0,98,House,False,15,hot15Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,84,Houses_Rent_Islamabad,for_rent,2026-07-26,https://www.zameen.com/Property/islamabad_e-11_e11_house_available_for_rent_for_comershal_and_family_use-54508245-329-4.html
F-11/3 500 Square Yard Renovated House For Rent,PKR 4.8 Lakh,480000,5,5,1 Kanal,4500.0,106,House,False,26,hot26Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,84,Houses_Rent_Islamabad,for_rent,2026-07-26,https://www.zameen.com/Property/f_11_f-11_3_f-11_3_500_square_yard_renovated_house_for_rent-54416304-3284-4.html
Brand New Luxury Furnished house Available for Rent,PKR 5 Lakh,500000,5,6,1 Kanal,4500.0,111,House,False,29,hot29Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,84,Houses_Rent_Islamabad,for_rent,2026-07-26,https://www.zameen.com/Property/bahria_town_bahria_enclave_brand_new_luxury_furnished_house_available_for_rent-54521817-1705-4.html
2 Bed Ground Portion For Rent On 7 Marla,PKR 50 Thousand,50000,50,3,7 Marla,1575.0,31,House,False,10,10Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,81,Houses_Rent_Islamabad,for_rent,2026-07-26,https://www.zameen.com/Property/islamabad_bani_gala_2_bed_ground_portion_for_rent_on_7_marla-54522227-340-4.html
Full House Available For Rent In G-15,PKR 1.3 Lakh,130000,5,6,7 Marla,1575.0,82,House,False,10,10Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,81,Houses_Rent_Islamabad,for_rent,2026-07-26,https://www.zameen.com/Property/islamabad_g-15_full_house_available_for_rent_in_g-15-52910572-764-4.html
1 Kanal Brand New Designer Luxury House For Rent  DHA Phase 2,PKR 3.1 Lakh,310000,6,6,1 Kanal,4500.0,68,House,False,31,31Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,81,Houses_Rent_Islamabad,for_rent,2026-07-26,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_brand_new_designer_luxury_house_for_rent_dha_phase_2-54221397-339-4.html
