title,price,price_numeric,beds,baths,area,area_sqft,price_per_sqft,property_type,featured,photo_count,description,description_length,city,listing_mode,scraped_date,url
"3 MARLA HOUSE FOR SALE IN GHOURI TOWN PHASE 4-A, ISLAMABAD",PKR 75 Lakh,7500000,5,4,3 Marla,675.0,11111,House,False,20,"PKR75 LakhGhauri Town Phase 4A, Ghauri Town543 MarlaAdded: 2 days agoSMSCall",76,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/ghauri_town_ghauri_town_phase_4a_3_marla_house_for_sale_in_ghouri_town_phase_4-a_islamabad-54472878-14956-1.html
House For Sale In Chatha Bakhtawar,PKR 1.95 Crore,19500000,6,5,3 Marla,675.0,28888,House,False,9,"PKR1.95 CroreChatha Bakhtawar, Islamabad653 MarlaAdded: 3 days ago(Updated: 12 hours ago)SMSCall",96,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/islamabad_chatha_bakhtawar_house_for_sale_in_chatha_bakhtawar-54495363-3153-1.html
3 Marla Brand New House For Sale In Jhangi Syedan,PKR 62 Lakh,6200000,,,3 Marla,675.0,9185,House,False,8,"PKR62 LakhJhangi Syedan, Islamabad3 MarlaAdded: 5 days ago(Updated: 12 hours ago)SMSCall",88,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/islamabad_jhangi_syedan_3_marla_brand_new_house_for_sale_in_jhangi_syedan-54501750-8851-1.html
Corner House For Sale,PKR 1.9 Crore,19000000,5,4,3 Marla,675.0,28148,House,False,9,"PKR1.9 CroreSoan Garden, Islamabad543 MarlaAdded: 2 weeks ago(Updated: 12 hours ago)SMSCall",91,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/islamabad_soan_garden_corner_house_for_sale-52271434-338-1.html
Renovated House For Sale,PKR 3.4 Crore,34000000,4,3,3 Marla,675.0,50370,House,False,10,"PKR3.4 CroreG-10/4, G-10433 MarlaAdded: 3 weeks ago(Updated: 5 days ago)SMSCallEmail",84,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/g_10_g-10_4_renovated_house_for_sale-54099474-3327-1.html
3 marla singal story new house for sale in bilal town khana pull rawal hospital islalmabad,PKR 95 Lakh,9500000,3,3,3 Marla,675.0,14074,House,False,14,"PKR95 LakhBilal Town, Lehtrar Road333 MarlaAdded: 11 hours ago(Updated: 11 hours ago)SMSCall",92,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/lehtrar_road_bilal_town_3_marla_singal_story_new_house_for_sale_in_bilal_town_khana_pull_rawal_hospital_islalmabad-54521518-13227-1.html
"3 Marla Double Storey Cornor Brand New House For Sale In New Chatha Bukhtwar, Near Comset University And Park Enclave, Islamabad.",PKR 1.6 Crore,16000000,4,4,3 Marla,675.0,23703,House,False,22,"PKR1.6 CroreChatha Bakhtawar, Islamabad443 MarlaAdded: 2 days ago(Updated: 2 days ago)SMSCall",93,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/islamabad_chatha_bakhtawar_3_marla_double_storey_cornor_brand_new_house_for_sale_in_new_chatha_bukhtwar_near_comset_university_and_park_enclave_islamabad-54371443-3153-1.html
"3.5 Marla House And 2 Shops For Sale Demand 16000000/- Gas, Water And Electricity Available 20 Feet Street In Chatha Bukhtwar, Near Milad Choke, Islamabad.",PKR 1.6 Crore,16000000,3,3,3 Marla,675.0,23703,House,False,6,"PKR1.6 CroreChatha Bakhtawar, Islamabad333 MarlaAdded: 2 days ago(Updated: 2 days ago)SMSCall",93,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/islamabad_chatha_bakhtawar_3_5_marla_house_and_2_shops_for_sale_demand_16000000_-_gas_water_and_electricity_available_20_feet_street_in_chatha_bukhtwar_near_milad_choke_islamabad-54081163-3153-1.html
Adnan Property Offers A House For Sale,PKR 1.55 Crore,15500000,,,3 Marla,675.0,22962,House,False,9,"PKR1.55 CroreChatha Bakhtawar, Islamabad3 MarlaAdded: 2 days agoSMSCall",71,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/islamabad_chatha_bakhtawar_adnan_property_offers_a_house_for_sale-53825441-3153-1.html
New 3 Marla House For Sale Final 60 Lack Electricity Water,PKR 59 Lakh,5900000,2,2,3 Marla,675.0,8740,House,False,32,"PKR59 LakhMarwa Town, Islamabad223 MarlaAdded: 3 days agoSMSCall",64,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/islamabad_marwa_town_new_3_marla_house_for_sale_final_60_lack_electricity_water-53233987-10078-1.html
