title,price,price_numeric,beds,baths,area,area_sqft,price_per_sqft,property_type,featured,photo_count,description,description_length,city,scraped_date,url
"11 Marla Corner Luxury House for Sale | Double Unit | Sector C1, Bahria Enclave",PKR 6.1 Crore,61000000,5,6,11 Marla,2475.0,24646,House,True,49,super hot49Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,90,Houses_Islamabad,2026-08-10,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c1_11_marla_corner_luxury_house_for_sale_double_unit_sector_c1_bahria_enclave-54344674-11987-1.html
10 Marla Luxury Designer House for Sale | Spacious Living | Outclass Finishing | Premium Lifestyle,PKR 5.95 Crore,59500000,5,6,10 Marla,2250.0,26444,House,True,37,super hot37Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,90,Houses_Islamabad,2026-08-10,https://www.zameen.com/Property/islamabad_top_city_1_10_marla_luxury_designer_house_for_sale_spacious_living_outclass_finishing_premium_lifestyle-54512208-1383-1.html
1 Kanal Corner 50 Feet Road Designer House Is Available For sale In Top City 1,PKR 7.7 Crore,77000000,6,6,1 Kanal,4500.0,17111,House,True,45,super hot45Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,90,Houses_Islamabad,2026-08-10,https://www.zameen.com/Property/islamabad_top_city_1_1_kanal_corner_50_feet_road_designer_house_is_available_for_sale_in_top_city_1-54472448-1383-1.html
House For Sale In F 8/3,PKR 40 Crore,400000000,6,6,1.8 Kanal,8100.0,49382,House,True,6,super hot6Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,89,Houses_Islamabad,2026-08-10,https://www.zameen.com/Property/f_8_f-8_3_house_for_sale_in_f_8_3-54455861-3316-1.html
DHA Homes Beautiful Turkish Style 5 Marla House For Sale Ideal Location Responsible Price,PKR 90 Lakh,9000000,2,2,5 Marla,1125.0,8000,House,True,9,super hot91Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,90,Houses_Islamabad,2026-08-10,https://www.zameen.com/Property/dha_valley_oleander_sector_oleander_sector_-_dha_homes_block_a_dha_homes_beautiful_turkish_style_5_marla_house_for_sale_ideal_location_responsible_price-54337517-16792-1.html
1 KANAL LUXURY FULLY FITTED VILLA AVAILABLE FOR SALE IN EIGHTEEN ISLAMABAD,PKR 12.5 Crore,125000000,5,5,1 Kanal,4500.0,27777,House,True,35,super hot35Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,90,Houses_Islamabad,2026-08-10,https://www.zameen.com/Property/kashmir_highway_eighteen_1_kanal_luxury_fully_fitted_villa_available_for_sale_in_eighteen_islamabad-54202612-12602-1.html
5 Marla ( 25*50 In Block C ) Short Corner House. For Sale,PKR 3.03 Crore,30299999,4,6,5 Marla,1125.0,26933,House,True,37,super hot37Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,90,Houses_Islamabad,2026-08-10,https://www.zameen.com/Property/faisal_town_phase_1_faisal_town_phase_1_-_block_c_5_marla_25_50_in_block_c_short_corner_house_for_sale-54532767-16418-1.html
Corner House For Sale Street 55 (25x40) 5 Bedroom + 2 Bathroom + T. V Lounge,PKR 2.5 Crore,25000000,2,2,4 Marla,900.0,27777,House,True,46,super hot46VerifiedShare on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,98,Houses_Islamabad,2026-08-10,https://www.zameen.com/Property/i_10_i-10_1_corner_house_for_sale_street_55_25x40_5_bedroom_2_bathroom_t_v_lounge-54198909-3420-1.html
"Sun Facing Dream Home For Sale In D-12/1, Islamabad",PKR 5.6 Crore,56000000,4,5,4 Marla,900.0,62222,Unknown,True,9,super hot9Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,89,Houses_Islamabad,2026-08-10,https://www.zameen.com/Property/islamabad_d-12_sun_facing_dream_home_for_sale_in_d-12_1_islamabad-54403648-160-1.html
Brand New Luxurious Designer Villa Modern Elevation with Premium Finishes & Panoramic Roof Terrace,PKR 5.4 Crore,54000000,4,5,4 Marla,900.0,60000,House,True,27,super hot27Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,90,Houses_Islamabad,2026-08-10,https://www.zameen.com/Property/islamabad_d-12_brand_new_luxurious_designer_villa_modern_elevation_with_premium_finishes_panoramic_roof_terrace-54590696-160-1.html
10 Marla Ultra Luxury Brand New Corner House for Sale in Faisal Margalla City- Islamabad,PKR 5 Crore,50000000,5,6,10 Marla,2250.0,22222,House,True,28,hot28Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,84,Houses_Islamabad,2026-08-10,https://www.zameen.com/Property/b_17_faisal_margalla_city_10_marla_ultra_luxury_brand_new_corner_house_for_sale_in_faisal_margalla_city-_islamabad-54371504-13424-1.html
"17 Marla Designer Luxury House for Sale in B Block , B-17 Islamabad",PKR 8.5 Crore,85000000,6,6,17 Marla,3825.0,22222,House,True,45,hot45Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,84,Houses_Islamabad,2026-08-10,https://www.zameen.com/Property/islamabad_b-17_17_marla_designer_luxury_house_for_sale_in_b_block_b-17_islamabad-54372229-616-1.html
Beautiful 5 marla double storey house for sale in National Police Foundation Block C,PKR 2.25 Crore,22500000,3,3,5 Marla,1125.0,20000,House,False,13,hot13Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,84,Houses_Islamabad,2026-08-10,https://www.zameen.com/Property/national_police_foundation_o_9_national_police_foundation_o-9_-_block_c_beautiful_5_marla_double_storey_house_for_sale_in_national_police_foundation_block_c-54534842-16427-1.html
2 Kanal Ready For Possession House Available For Sale In Eighteen Islamabad,PKR 19.5 Crore,195000000,5,6,2 Kanal,9000.0,21666,House,False,22,hot22Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,84,Houses_Islamabad,2026-08-10,https://www.zameen.com/Property/kashmir_highway_eighteen_2_kanal_ready_for_possession_house_available_for_sale_in_eighteen_islamabad-54214554-12602-1.html
Book House Today In Eighteen,PKR 23 Crore,230000000,,,2 Kanal,9000.0,25555,House,False,8,hot8VerifiedShare on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,91,Houses_Islamabad,2026-08-10,https://www.zameen.com/Property/kashmir_highway_eighteen_book_house_today_in_eighteen-54239383-12602-1.html
Bahria Enclave Sector N 8 Marla Brand New Park Face Double Unit Sun Facing House For Sale A Plus Construction,PKR 4.25 Crore,42500000,5,6,8 Marla,1800.0,23611,House,False,22,hot22Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,84,Houses_Islamabad,2026-08-10,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_n_bahria_enclave_sector_n_8_marla_brand_new_park_face_double_unit_sun_facing_house_for_sale_a_plus_construction-54552018-11975-1.html
7 Marla House For Sale | Corner | LOP Approved | Premium Construction,PKR 3.99 Crore,39900000,6,7,7 Marla,1575.0,25333,House,True,19,hot19Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,84,Houses_Islamabad,2026-08-10,https://www.zameen.com/Property/fechs_jinnah_gardens_7_marla_house_for_sale_corner_lop_approved_premium_construction-54133709-1420-1.html
"Brand New & Beautifully Designed 10 Marla House for Sale in F-11, Islamabad",PKR 14 Crore,140000000,4,5,10 Marla,2250.0,62222,House,True,9,9Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,80,Houses_Islamabad,2026-08-10,https://www.zameen.com/Property/islamabad_f-11_brand_new_beautifully_designed_10_marla_house_for_sale_in_f-11_islamabad-54591381-163-1.html
A Perfect House Awaits You In Eighteen Islamabad,PKR 8.25 Crore,82500000,,,13.7 Marla,3082.5,26763,House,False,6,6VerifiedShare on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,88,Houses_Islamabad,2026-08-10,https://www.zameen.com/Property/kashmir_highway_eighteen_a_perfect_house_awaits_you_in_eighteen_islamabad-54358219-12602-1.html
